idxname,token
SENSEX,1
BSE100,2
BSE200,3
BSE500,4
BSE CG,7
BSE CD,8
BSEPSU,10
TECK,11
BANKEX,12
AUTO,13
METAL,14
OILGAS,15
REALTY,21
POWER,22
BSEIPO,23
GREENX,25
CARBON,26
SMEIPO,27
INFRA,28
CPSE,29
MIDCAP,30
SMLCAP,31
BSEFMC,32
BSE HC,33
BSE IT,34
MFG,35
ALLCAP,36
BASMTR,37
CDGS,38
ENERGY,39
FIN,40
INDSTR,41
LRGCAP,42
MIDSEL,43
SMLSEL,44
TELCOM,45
UTILS,46
SNSX50,47
SNXT50,48
BHRT22,49
ESG100,50
MID150,55
SML250,56
LMI250,57
MSL400,58
BSEDSI,59
BSEEVI,60
BSELVI,61
BSEMOI,62
BSEQUI,63
DFRGRI,64
LCTMCI,65
BSEPBI,66
SNXN30,68
SNSX60,69
SS6535,70
POWENE,71
200EQW,72
INTECO,73
CAPINS,74
FOCIT,75
FOCMID,77
BBGEFS,78
