idxname,token
HangSeng BeES-NAV,26016
India VIX,26017
Nifty 50,26000
Nifty IT,26008
Nifty Next 50,26013
Nifty Bank,26009
Nifty 500,26004
Nifty 100,26012
Nifty Midcap 50,26014
Nifty Realty,26018
Nifty Infra,26019
Nifty Energy,26020
Nifty FMCG,26021
Nifty MNC,26022
Nifty Pharma,26023
Nifty PSE,26024
Nifty PSU Bank,26025
Nifty Serv Sector,26026
Nifty Auto,26029
Nifty Metal,26030
Nifty Media,26031
Nifty 200,26033
Nifty Div Opps 50,26034
Nifty Commodities,26035
Nifty Consumption,26036
Nifty Fin Service,26037
Nifty50 Div Point,26038
Nifty100 Liq 15,26040
Nifty CPSE,26041
Nifty GrowSect 15,26001
Nifty50 PR 2x Lev,26002
Nifty50 PR 1x Inv,26042
Nifty50 TR 2x Lev,26043
Nifty50 TR 1x Inv,26044
Nifty50 Value 20,26045
Nifty Mid Liq 15,26046
Nifty Pvt Bank,26047
NIFTY100 Qualty30,26048
NIFTY MIDCAP 100,26011
NIFTY SMLCAP 100,26032
Nifty GS 8 13Yr,26049
Nifty GS 10Yr,26050
Nifty GS 10Yr Cln,26051
Nifty GS 4 8Yr,26052
Nifty GS 11 15Yr,26053
Nifty GS 15YrPlus,26054
Nifty GS Compsite,26055
NIFTY50 EQL Wgt,26056
NIFTY100 EQL Wgt,26057
NIFTY100 LowVol30,26058
NIFTY Alpha 50,26059
NIFTY MIDCAP 150,26060
NIFTY SMLCAP 50,26061
NIFTY SMLCAP 250,26062
NIFTY MIDSML 400,26063
NIFTY200 QUALTY30,26064
Nifty FinSrv25 50,26065
NIFTY AlphaLowVol,26066
Nifty200Momentm30,26067
Nifty100ESGSecLdr,26068
NIFTY HEALTHCARE,26069
NIFTY CONSR DURBL,26070
NIFTY OIL AND GAS,26071
NIFTY500 MULTICAP,26072
NIFTY LARGEMID250,26073
NIFTY MID SELECT,26074
NIFTY TOTAL MKT,26075
NIFTY MICROCAP250,26076
NIFTY IND DIGITAL,26077
NIFTY100 ESG,26078
NIFTY M150 QLTY50,26079
NIFTY INDIA MFG,26080
Nifty200 Alpha 30,26081
NiftyM150Momntm50,26082
Nifty Tata 25 Cap,26083
Nifty MidSml Hlth,26084
Nifty Multi Mfg,26085
Nifty Multi Infra,26086
BHARATBOND-APR25,26087
BHARATBOND-APR30,26088
BHARATBOND-APR31,26089
BHARATBOND-APR32,26090
BHARATBOND-APR33,26091
Nifty Ind Defence,26092
Nifty Ind Tourism,26093
Nifty Capital Mkt,26094
Nifty500Momentm50,26095
NiftyMS400 MQ 100,26096
NiftySml250MQ 100,26097
Nifty Top 10 EW,26098
